Iteration,A,R,sdvig,polojenie
422,2.5,10.0,120,-22.5
423,2.5,10.0,120,-20.0
424,2.5,10.0,120,-17.5
425,2.5,10.0,120,-15.0
426,2.5,10.0,120,-12.5
427,2.5,10.0,120,-10.0
428,2.5,10.0,120,-7.5
429,2.5,10.0,120,-5.0
430,2.5,10.0,120,-2.5
431,2.5,10.0,120,0.0
432,2.5,10.0,120,2.5
433,2.5,10.0,120,5.0
434,2.5,10.0,120,7.5
435,2.5,10.0,120,10.0
436,2.5,10.0,120,12.5
437,2.5,10.0,120,15.0
438,2.5,10.0,120,17.5
439,2.5,10.0,120,20.0
440,2.5,10.0,120,22.5
441,2.5,10.0,120,25.0
442,2.5,10.0,120,27.5
443,2.5,10.0,120,30.0
444,2.5,10.0,120,32.5
445,2.5,10.0,120,35.0
446,2.5,10.0,120,37.5
447,2.5,10.0,120,40.0
448,2.5,10.0,120,42.5
449,2.5,10.0,120,45.0
450,2.5,10.0,120,47.5
451,2.5,10.0,120,50.0
452,2.5,10.0,130,-50.0
453,2.5,10.0,130,-47.5
454,2.5,10.0,130,-45.0
455,2.5,10.0,130,-42.5
456,2.5,10.0,130,-40.0
457,2.5,10.0,130,-37.5
458,2.5,10.0,130,-35.0
459,2.5,10.0,130,-32.5
460,2.5,10.0,130,-30.0
461,2.5,10.0,130,-27.5
462,2.5,10.0,130,-25.0
463,2.5,10.0,130,-22.5
464,2.5,10.0,130,-20.0
465,2.5,10.0,130,-17.5
466,2.5,10.0,130,-15.0
467,2.5,10.0,130,-12.5
468,2.5,10.0,130,-10.0
469,2.5,10.0,130,-7.5
470,2.5,10.0,130,-5.0
471,2.5,10.0,130,-2.5
472,2.5,10.0,130,0.0
473,2.5,10.0,130,2.5
474,2.5,10.0,130,5.0
475,2.5,10.0,130,7.5
476,2.5,10.0,130,10.0
477,2.5,10.0,130,12.5
478,2.5,10.0,130,15.0
479,2.5,10.0,130,17.5
480,2.5,10.0,130,20.0
481,2.5,10.0,130,22.5
482,2.5,10.0,130,25.0
483,2.5,10.0,130,27.5
484,2.5,10.0,130,30.0
485,2.5,10.0,130,32.5
486,2.5,10.0,130,35.0
487,2.5,10.0,130,37.5
488,2.5,10.0,130,40.0
489,2.5,10.0,130,42.5
490,2.5,10.0,130,45.0
491,2.5,10.0,130,47.5
492,2.5,10.0,130,50.0
493,2.5,10.5,20,-50.0
494,2.5,10.5,20,-47.5
495,2.5,10.5,20,-45.0
496,2.5,10.5,20,-42.5
497,2.5,10.5,20,-40.0
498,2.5,10.5,20,-37.5
499,2.5,10.5,20,-35.0
500,2.5,10.5,20,-32.5
501,2.5,10.5,20,-30.0
502,2.5,10.5,20,-27.5
503,2.5,10.5,20,-25.0
504,2.5,10.5,20,-22.5
505,2.5,10.5,20,-20.0
506,2.5,10.5,20,-17.5
507,2.5,10.5,20,-15.0
508,2.5,10.5,20,-12.5
509,2.5,10.5,20,-10.0
510,2.5,10.5,20,-7.5
511,2.5,10.5,20,-5.0
512,2.5,10.5,20,-2.5
513,2.5,10.5,20,0.0
514,2.5,10.5,20,2.5
515,2.5,10.5,20,5.0
516,2.5,10.5,20,7.5
517,2.5,10.5,20,10.0
518,2.5,10.5,20,12.5
519,2.5,10.5,20,15.0
520,2.5,10.5,20,17.5
521,2.5,10.5,20,20.0
522,2.5,10.5,20,22.5
523,2.5,10.5,20,25.0
524,2.5,10.5,20,27.5
525,2.5,10.5,20,30.0
526,2.5,10.5,20,32.5
527,2.5,10.5,20,35.0
528,2.5,10.5,20,37.5
529,2.5,10.5,20,40.0
530,2.5,10.5,20,42.5
531,2.5,10.5,20,45.0
532,2.5,10.5,20,47.5
533,2.5,10.5,20,50.0
534,2.5,10.5,30,-50.0
535,2.5,10.5,30,-47.5
536,2.5,10.5,30,-45.0
537,2.5,10.5,30,-42.5
538,2.5,10.5,30,-40.0
539,2.5,10.5,30,-37.5
540,2.5,10.5,30,-35.0
541,2.5,10.5,30,-32.5
542,2.5,10.5,30,-30.0
543,2.5,10.5,30,-27.5
544,2.5,10.5,30,-25.0
545,2.5,10.5,30,-22.5
546,2.5,10.5,30,-20.0
547,2.5,10.5,30,-17.5
548,2.5,10.5,30,-15.0
549,2.5,10.5,30,-12.5
550,2.5,10.5,30,-10.0
551,2.5,10.5,30,-7.5
552,2.5,10.5,30,-5.0
553,2.5,10.5,30,-2.5
554,2.5,10.5,30,0.0
555,2.5,10.5,30,2.5
556,2.5,10.5,30,5.0
557,2.5,10.5,30,7.5
